$0;-1;1.9-SNAPSHOT;KIEKER;avh-ThinkPad-RSS;1;false;0;NANOSECONDS;1
$1;1283156545604320902;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976150;1283156498785545212;1283156498789550676;SRV0;1;1
$1;1283156545604476283;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976158;1283156498785773307;1283156498789563784;SRV1;1;1
$1;1283156545604629522;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976167;1283156498786003102;1283156498789577819;SRV1;1;1
$1;1283156545604784283;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976156;1283156498785733525;1283156498789590822;SRV1;1;1
$1;1283156545604936421;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976165;1283156498785962859;1283156498792199404;SRV1;1;1
$1;1283156545605092749;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976196;1283156498805534748;1283156498807595649;SRV1;1;1
$1;1283156545605244536;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976199;1283156498805692450;1283156498807771635;SRV1;1;1
$1;1283156545605415247;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976205;1283156498805874649;1283156498810533334;SRV1;1;1
$1;1283156545605571659;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976206;1283156498805911022;1283156498810552691;SRV0;1;1
$1;1283156545605724982;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976207;1283156498805951300;1283156498810566326;SRV0;1;1
$1;1283156545605880763;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976208;1283156498805986247;1283156498810579988;SRV1;1;1
$1;1283156545606032636;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976210;1283156498806033957;1283156498810592961;SRV0;1;1
$1;1283156545606186778;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976212;1283156498806078662;1283156498810606987;SRV1;1;1
$1;1283156545606339758;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976214;1283156498806114322;1283156498810619912;SRV1;1;1
$1;1283156545606536161;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976215;1283156498806149985;1283156498810633017;SRV0;1;1
